----- RESPONSE DELIMITER -----
ID: Spain_411
----- RESPONSE DELIMITER -----
Answer 2: Spanish Data Protection Agency
Answer 3: NO
Answer 4: 2020
Answer 5: 9
Answer 6: 1
Answer 7: VENU SANZ CHEF, S.L.
Answer 8: PRIVATE
Answer 9: UNKNOWN
Answer 10: NOT_APPLICABLE
Answer 11: CONTROLLER
Answer 12: DIGITAL_SERVICES
Answer 13: NOT_APPLICABLE
Answer 14: MARKETING;PROBLEMATIC_THIRD_PARTY_SHARING_STATED
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: NOT_DISCUSSED
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: BREACHED
Answer 22: BREACHED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: YES
Answer 29: NOT_DISCUSSED
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: NOT_DISCUSSED
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: NO
Answer 46: NO
Answer 47: NO
Answer 48: YES
Answer 49: NO
Answer 50: NO
Answer 51: NO
Answer 52: NO
Answer 53: YES
Answer 54: 1800
Answer 55: EUR
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: AGGRAVATING
Answer 60: AGGRAVATING
Answer 61: NOT_DISCUSSED
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: AGGRAVATING
Answer 66: NOT_DISCUSSED
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: NOT_DISCUSSED
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NOT_DISCUSSED
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: VENU SANZ CHEF used complainant's personal data including name, photo, and health information (cholesterol tests and hypothyroidism) to advertise products without consent. The Spanish DPA found violations of Article 5(1)(b) purpose limitation principle. Defendant paid reduced fine of €1,800 by acknowledging responsibility and making voluntary payment. Case terminated under administrative procedure provisions.
Answer 76: The DPA discussed Article 83(2) factors: negligent character was aggravating, health data categories were aggravating. Other factors were not discussed in detail. The fine was reduced by 40% total for voluntary payment and acknowledgment of responsibility.
Answer 77: 5
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_414
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Agency for Data Protection
Answer 3: NO
Answer 4: 2021
Answer 5: 0
Answer 6: 1
Answer 7: EXTREMEÑO DE SALUD SERVICE
Answer 8: PUBLIC
Answer 9: NOT_APPLICABLE
Answer 10: MUNICIPAL
Answer 11: CONTROLLER
Answer 12: HEALTH
Answer 13: NOT_APPLICABLE
Answer 14: NOT_DISCUSSED
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: YES
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: NOT_DISCUSSED
Answer 22: NOT_DISCUSSED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: BREACHED
Answer 27: NOT_DISCUSSED
Answer 28: YES
Answer 29: PATIENTS
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: NOT_DISCUSSED
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: YES
Answer 46: YES
Answer 47: NOT_DISCUSSED
Answer 48: YES
Answer 49: NOT_DISCUSSED
Answer 50: NOT_DISCUSSED
Answer 51: NOT_DISCUSSED
Answer 52: NOT_DISCUSSED
Answer 53: NO
Answer 54: NOT_APPLICABLE
Answer 55: NOT_APPLICABLE
Answer 56: NOT_DISCUSSED
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: AGGRAVATING
Answer 60: AGGRAVATING
Answer 61: NOT_DISCUSSED
Answer 62: AGGRAVATING
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: AGGRAVATING
Answer 66: NOT_DISCUSSED
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: NOT_DISCUSSED
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NOT_DISCUSSED
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: The SES failed to implement adequate technical and organizational security measures, allowing unauthorized access to a patient's medical history by a nurse. The DPA found violations of Article 32 (security measures) and Article 5.1.f) (integrity and confidentiality). As a public entity, SES received warnings rather than fines under Spanish law.
Answer 76: The DPA considered the nature of health data as aggravating, the negligent character as aggravating, and inadequate security measures as aggravating. Other factors were not systematically discussed under Article 83(2).
Answer 77: 5;32
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_415
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Agency for Data Protection
Answer 3: NO
Answer 4: 2020
Answer 5: 3
Answer 6: 1
Answer 7: CONSEGURIDAD S.L.
Answer 8: PRIVATE
Answer 9: UNKNOWN
Answer 10: NOT_APPLICABLE
Answer 11: CONTROLLER
Answer 12: OTHER
Answer 13: private;security
Answer 14: CCTV
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: NOT_DISCUSSED
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: NOT_DISCUSSED
Answer 22: NOT_DISCUSSED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: NO
Answer 29: NOT_DISCUSSED
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: NOT_DISCUSSED
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: NO
Answer 46: NO
Answer 47: NO
Answer 48: YES
Answer 49: NO
Answer 50: NO
Answer 51: NO
Answer 52: NO
Answer 53: YES
Answer 54: 50000
Answer 55: EUR
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: AGGRAVATING
Answer 60: NOT_DISCUSSED
Answer 61: NOT_DISCUSSED
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: AGGRAVATING
Answer 66: NOT_DISCUSSED
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: NOT_DISCUSSED
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NOT_DISCUSSED
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: Private security company CONSEGURIDAD S.L. failed to appoint a Data Protection Officer as required by Article 37.1(b) GDPR and Article 34.1(ñ) LOPDGDD for private security companies processing personal data on a large scale. The company operated CCTV surveillance but lacked DPO designation and failed to respond to the AEPD's communications. The AEPD imposed a €50,000 fine for this violation, considering the large-scale data processing and basic personal identifiers affected as aggravating factors.
Answer 76: The DPA discussed Article 83(2) factors briefly. Article 83(2)(a) (nature/gravity/duration) was AGGRAVATING due to large-scale processing affecting many data subjects. Article 83(2)(g) (categories of data) was AGGRAVATING as basic personal identifiers were affected. Other factors were NOT_DISCUSSED.
Answer 77: 37
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_416
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Agency for Data Protection
Answer 3: NO
Answer 4: 2020
Answer 5: 11
Answer 6: 1
Answer 7: B.B.B.
Answer 8: INDIVIDUAL
Answer 9: NOT_APPLICABLE
Answer 10: NOT_APPLICABLE
Answer 11: CONTROLLER
Answer 12: HOUSING_TOURISM
Answer 13: NOT_APPLICABLE
Answer 14: CCTV
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: NOT_DISCUSSED
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: NOT_DISCUSSED
Answer 22: NOT_DISCUSSED
Answer 23: BREACHED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: NO
Answer 29: NOT_DISCUSSED
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: NOT_DISCUSSED
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: NO
Answer 46: NO
Answer 47: NO
Answer 48: NO
Answer 49: NO
Answer 50: NO
Answer 51: NO
Answer 52: NO
Answer 53: YES
Answer 54: 5000
Answer 55: EUR
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: AGGRAVATING
Answer 60: AGGRAVATING
Answer 61: NOT_DISCUSSED
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: AGGRAVATING
Answer 66: NOT_DISCUSSED
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: NOT_DISCUSSED
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NOT_DISCUSSED
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: Landlord installed surveillance camera in rented room capturing images and sound of tenant's private space; Camera was used to monitor tenant's activities and reproach her for damaging property; DPA found violation of data minimization principle (Article 5(1)(c)) as processing exceeded what was necessary; Fine imposed for intrusion into tenant's privacy and home inviolability.
Answer 76: DPA considered seriousness of offense (invasion of privacy space), intentionality/negligence (failure to inform in lease contract and exceeding recording area), and nature of data obtained from private space as aggravating factors; Other Article 83(2) factors were not discussed.
Answer 77: 5
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_417
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Data Protection Agency
Answer 3: NO
Answer 4: 2019
Answer 5: 0
Answer 6: 1
Answer 7: VOX ESPAÑA
Answer 8: OTHER
Answer 9: UNKNOWN
Answer 10: NOT_APPLICABLE
Answer 11: CONTROLLER
Answer 12: OTHER
Answer 13: political_party;newsletter_subscribers
Answer 14: PROBLEMATIC_THIRD_PARTY_SHARING_STATED
Answer 15: NO
Answer 16: YES
Answer 17: YES
Answer 18: YES
Answer 19: NOT_DISCUSSED
Answer 20: MITIGATING
Answer 21: NOT_DISCUSSED
Answer 22: NOT_DISCUSSED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: BREACHED
Answer 27: NOT_DISCUSSED
Answer 28: YES
Answer 29: NOT_DISCUSSED
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: The controller did not claim a specific legal basis; the DPA focused on security obligations under Article 32 rather than legal basis validity.
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: NO
Answer 46: YES
Answer 47: NO
Answer 48: NO
Answer 49: NO
Answer 50: NO
Answer 51: NO
Answer 52: NO
Answer 53: NO
Answer 54: NOT_APPLICABLE
Answer 55: NOT_APPLICABLE
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: AGGRAVATING
Answer 60: AGGRAVATING
Answer 61: MITIGATING
Answer 62: AGGRAVATING
Answer 63: NOT_DISCUSSED
Answer 64: MITIGATING
Answer 65: AGGRAVATING
Answer 66: MITIGATING
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: MITIGATING
Answer 70: YES
Answer 71: NOT_DISCUSSED
Answer 72: NOT_DISCUSSED
Answer 73: NOT_APPLICABLE
Answer 74: WP29 Opinion 4/2007 On the concept of personal data
Answer 75: VOX España suffered a security breach where hackers accessed subscriber data for their newsletter. The DPA found inadequate security measures with 22 vulnerabilities including serious SQL injection flaws. While VOX promptly notified the breach and took remedial actions, the DPA issued a warning for violating Article 32 security obligations due to the risk of political ideology attribution from subscriber data exposure.
Answer 76: The DPA discussed Article 83(2) factors systematically. Aggravating factors included nature/gravity/duration, intentional/negligent character, technical measures inadequacy, and data categories affected. Mitigating factors included actions to mitigate damage, cooperation with authority, and manner infringement became known. The combination led to a warning instead of a fine.
Answer 77: 32
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_418
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Data Protection Agency
Answer 3: NO
Answer 4: 2020
Answer 5: 11
Answer 6: 1
Answer 7: Town Hall of Arroyomolinos
Answer 8: PUBLIC
Answer 9: NOT_APPLICABLE
Answer 10: MUNICIPAL
Answer 11: CONTROLLER
Answer 12: OTHER_PUBLIC_ADMIN
Answer 13: NOT_APPLICABLE
Answer 14: NOT_DISCUSSED
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: NOT_DISCUSSED
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: NOT_DISCUSSED
Answer 22: NOT_DISCUSSED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: NO
Answer 29: NOT_DISCUSSED
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: NOT_DISCUSSED
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: NO
Answer 46: YES
Answer 47: NO
Answer 48: NO
Answer 49: NO
Answer 50: NO
Answer 51: NO
Answer 52: NO
Answer 53: NO
Answer 54: NOT_APPLICABLE
Answer 55: NOT_APPLICABLE
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: NOT_DISCUSSED
Answer 60: NOT_DISCUSSED
Answer 61: MITIGATING
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: NOT_DISCUSSED
Answer 66: NOT_DISCUSSED
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: NOT_DISCUSSED
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NOT_DISCUSSED
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: The Spanish DPA sanctioned Arroyomolinos Town Hall for failing to appoint a Data Protection Officer as required by Article 37 GDPR. The municipality lacked a DPO since GDPR came into force in May 2018. The DPA issued a warning sanction despite the Town Hall having appointed a DPO during the proceedings.
Answer 76: NOT_DISCUSSED
Answer 77: 37
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_419
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Agency for Data Protection
Answer 3: NO
Answer 4: 2021
Answer 5: 10
Answer 6: 1
Answer 7: AUDAX RENOVABLES, S.A.
Answer 8: PRIVATE
Answer 9: UNKNOWN
Answer 10: NOT_APPLICABLE
Answer 11: CONTROLLER
Answer 12: UTILITIES
Answer 13: NOT_APPLICABLE
Answer 14: MARKETING
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: NO
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: NOT_DISCUSSED
Answer 22: NOT_DISCUSSED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: NO
Answer 29: NOT_DISCUSSED
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: NOT_DISCUSSED
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: NOT_DISCUSSED
Answer 46: NOT_DISCUSSED
Answer 47: NOT_DISCUSSED
Answer 48: NOT_DISCUSSED
Answer 49: NOT_DISCUSSED
Answer 50: NOT_DISCUSSED
Answer 51: NOT_DISCUSSED
Answer 52: NOT_DISCUSSED
Answer 53: YES
Answer 54: 12000
Answer 55: EUR
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: MITIGATING
Answer 60: NOT_DISCUSSED
Answer 61: MITIGATING
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: NOT_DISCUSSED
Answer 66: NOT_DISCUSSED
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: MITIGATING
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NOT_DISCUSSED
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: Spanish DPA sanctioned Audax Renovables for making unsolicited marketing calls to a claimant registered on the Robinson List. The company argued it wasn't subject to telecommunications law but DPA found LGT applicable. Fine reduced to €12,000 considering low social impact and defendant's financial situation.
Answer 76: DPA considered low social impact of offense and defendant's financial situation as mitigating factors under Article 80 LGT, reducing the fine amount from maximum possible sanction.
Answer 77: NOT_DISCUSSED
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_421
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Agency for Data Protection
Answer 3: NO
Answer 4: 2020
Answer 5: 11
Answer 6: 1
Answer 7: RADIOTELEVISIÓN OF THE PRINCIPALITY OF ASTURIAS
Answer 8: PUBLIC
Answer 9: NOT_APPLICABLE
Answer 10: MUNICIPAL
Answer 11: CONTROLLER
Answer 12: MEDIA
Answer 13: NOT_APPLICABLE
Answer 14: CCTV;EMPLOYEE_MONITORING
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: YES
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: BREACHED
Answer 22: NOT_DISCUSSED
Answer 23: BREACHED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: NO
Answer 29: EMPLOYEES
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: VALID
Answer 35: NOT_DISCUSSED
Answer 36: Controller claimed public interest basis under Article 6(1)(e) GDPR for security purposes;DPA found the processing partially legitimate but disproportionate;Camera captured excessive rest area beyond security needs
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: BREACHED
Answer 44: NOT_DISCUSSED
Answer 45: NOT_DISCUSSED
Answer 46: NOT_DISCUSSED
Answer 47: NOT_DISCUSSED
Answer 48: YES
Answer 49: NOT_DISCUSSED
Answer 50: NOT_DISCUSSED
Answer 51: NOT_DISCUSSED
Answer 52: NOT_DISCUSSED
Answer 53: YES
Answer 54: 20000
Answer 55: EUR
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: AGGRAVATING
Answer 60: AGGRAVATING
Answer 61: NOT_DISCUSSED
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: MITIGATING
Answer 65: NOT_DISCUSSED
Answer 66: NOT_DISCUSSED
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: MITIGATING
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NO
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: RTPA operated CCTV system capturing employee rest area beyond security needs;DPA found violation of data minimization principle under Article 5(1)(c);Defendant paid reduced fine acknowledging responsibility
Answer 76: DPA considered nature of captured space aggravating and intentionality aggravating;Cooperation with authority was mitigating;Voluntary payment with 20% reduction applied
Answer 77: 5;12
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_422
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Agency for Data Protection
Answer 3: NO
Answer 4: 2022
Answer 5: 0
Answer 6: 1
Answer 7: Mederos Moviten, S.L.
Answer 8: PRIVATE
Answer 9: UNKNOWN
Answer 10: NOT_APPLICABLE
Answer 11: CONTROLLER
Answer 12: TELECOM
Answer 13: NOT_APPLICABLE
Answer 14: PROBLEMATIC_THIRD_PARTY_SHARING_STATED
Answer 15: YES
Answer 16: NOT_DISCUSSED
Answer 17: NOT_DISCUSSED
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: BREACHED
Answer 22: NOT_DISCUSSED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: NO
Answer 29: NOT_DISCUSSED
Answer 30: NOT_DISCUSSED
Answer 31: NOT_DISCUSSED
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: The controller claimed processing was necessary for contract performance, but DPA found no legitimate basis as contracts were unsigned and services were not actually contracted by the data subject.
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: NOT_DISCUSSED
Answer 44: NOT_DISCUSSED
Answer 45: NO
Answer 46: NO
Answer 47: NO
Answer 48: NO
Answer 49: NO
Answer 50: NO
Answer 51: NO
Answer 52: NO
Answer 53: YES
Answer 54: 15000
Answer 55: EUR
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: AGGRAVATING
Answer 60: AGGRAVATING
Answer 61: NOT_DISCUSSED
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: NOT_DISCUSSED
