======================================================================
Phase 3: Data Repair Log
======================================================================

Generated: 2025-10-03T22:51:55.528128
Input: /Users/milos/Desktop/enforcement/outputs/phase1_extraction/main_dataset.csv
Output: /Users/milos/Desktop/enforcement/outputs/phase3_repair/repaired_dataset.csv

REPAIR SUMMARY
----------------------------------------------------------------------
Total rows processed: 757
Rows repaired: 261
Total repairs applied: 805

REPAIRS BY PATTERN
----------------------------------------------------------------------
pattern1_not_discussed_to_no: 464 repairs
  Rule: NOT_DISCUSSED → NO
  Reason: Two-option field expects YES or NO, NOT_DISCUSSED invalid

pattern2_not_applicable_to_not_discussed: 282 repairs
  Rule: NOT_APPLICABLE → NOT_DISCUSSED
  Reason: NOT_APPLICABLE used incorrectly; defer to NOT_DISCUSSED sentinel when value missing

pattern3_breached_to_yes: 50 repairs
  Rule: BREACHED → YES
  Reason: Rights violation fields expect YES/NO/NOT_DISCUSSED, not BREACHED

pattern4_not_breached_to_no: 2 repairs
  Rule: NOT_BREACHED → NO
  Reason: Field expects YES/NO format, not BREACHED/NOT_BREACHED

pattern5_sector_in_defendant_class: 6 repairs
  Rule: [MEDIA, EDUCATION, JUDICIAL, TELECOM] → OTHER
  Reason: Sector values incorrectly used in defendant_class field

pattern6_intentional_to_aggravating: 1 repairs
  Rule: INTENTIONAL → AGGRAVATING
  Reason: Field expects AGGRAVATING/MITIGATING/NEUTRAL/NOT_DISCUSSED, not INTENTIONAL

DETAILED REPAIRS
----------------------------------------------------------------------
Row ID, Field, From, To, Pattern
Spain_447, a25_art5_storage_limitation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a26_art5_integrity_confidentiality, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a27_art5_accountability, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a30_art6_consent, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a31_art6_contract, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a32_art6_legal_obligation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a33_art6_vital_interests, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a34_art6_public_task, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a35_art6_legitimate_interest, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a37_right_access_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a38_right_rectification_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a39_right_erasure_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a40_right_restriction_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a41_right_portability_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a42_right_object_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a43_transparency_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a44_automated_decisions_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a45_warning_issued, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a46_reprimand_issued, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a47_comply_data_subject_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a48_compliance_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a49_breach_communication_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a50_erasure_restriction_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a51_certification_withdrawal, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a52_data_flow_suspension, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a59_nature_gravity_duration, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a60_intentional_negligent, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a61_mitigate_damage_actions, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a62_technical_org_measures, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a63_previous_infringements, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a64_cooperation_authority, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a65_data_categories_affected, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a66_infringement_became_known, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a67_prior_orders_compliance, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a68_codes_certification, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a69_other_factors, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a71_first_violation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_447, a72_cross_border_oss, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a3_appellate_decision, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a15_data_subject_complaint, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a16_media_attention, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a17_official_audit, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a20_breach_notification_effect, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a21_art5_lawfulness_fairness, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a22_art5_purpose_limitation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a23_art5_data_minimization, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a24_art5_accuracy, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a25_art5_storage_limitation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a26_art5_integrity_confidentiality, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a27_art5_accountability, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a30_art6_consent, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a31_art6_contract, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a32_art6_legal_obligation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a33_art6_vital_interests, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a34_art6_public_task, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a35_art6_legitimate_interest, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a37_right_access_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a38_right_rectification_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a39_right_erasure_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a40_right_restriction_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a41_right_portability_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a42_right_object_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a43_transparency_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a44_automated_decisions_violated, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a45_warning_issued, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a46_reprimand_issued, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a47_comply_data_subject_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a48_compliance_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a49_breach_communication_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a50_erasure_restriction_order, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a51_certification_withdrawal, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a52_data_flow_suspension, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a59_nature_gravity_duration, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a60_intentional_negligent, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a61_mitigate_damage_actions, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a62_technical_org_measures, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a63_previous_infringements, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a64_cooperation_authority, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a65_data_categories_affected, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a66_infringement_became_known, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a67_prior_orders_compliance, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a68_codes_certification, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a69_other_factors, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a71_first_violation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_448, a72_cross_border_oss, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed
Spain_469, a56_turnover_discussed, NOT_DISCUSSED, NO, pattern1_not_discussed_to_no
Spain_475, a18_art33_discussed, NOT_DISCUSSED, NO, pattern1_not_discussed_to_no
... and 705 more repairs

======================================================================
Repair complete. Run Phase 2 validation again to verify.
======================================================================
