id,processing_context,position
Spain_500,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Spain_501,COOKIES,1
Spain_502,COOKIES,1
Spain_504,RECRUITMENT_AND_HR,1
Spain_505,CCTV,1
Spain_506,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_507,CCTV,1
Spain_508,CCTV,1
Spain_509,MARKETING,1
Spain_509,CUSTOMER_LOYALTY_CLUBS,2
Spain_513,CREDIT_SCORING,1
Spain_516,COOKIES,1
Spain_518,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_523,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_524,RECRUITMENT_AND_HR,1
Spain_525,RECRUITMENT_AND_HR,1
Spain_527,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_533,MARKETING,1
Spain_537,CCTV,1
Spain_541,CCTV,1
Spain_542,MARKETING,1
Spain_542,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Spain_543,CCTV,1
Spain_544,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_545,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_546,CREDIT_SCORING,1
Spain_549,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_550,CCTV,1
Spain_553,COOKIES,1
Spain_554,MARKETING,1
Spain_555,MARKETING,1
Spain_556,COOKIES,1
Spain_556,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Spain_559,CCTV,1
Spain_561,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_562,COOKIES,1
Spain_564,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_568,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_569,MARKETING,1
Spain_570,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_574,COOKIES,1
Spain_575,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_576,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_577,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_578,RECRUITMENT_AND_HR,1
Spain_580,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_581,COOKIES,1
Spain_582,EMPLOYEE_MONITORING,1
Spain_583,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_588,MARKETING,1
Spain_606,RECRUITMENT_AND_HR,1
Spain_609,RECRUITMENT_AND_HR,1
Spain_615,CCTV,1
Spain_615,EMPLOYEE_MONITORING,2
Spain_618,CCTV,1
Spain_620,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_621,EMPLOYEE_MONITORING,1
Spain_624,ARTIFICIAL_INTELLIGENCE,1
Spain_627,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_629,EMPLOYEE_MONITORING,1
Slovenia_3,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Slovenia_6,MARKETING,1
Slovenia_10,RECRUITMENT_AND_HR,1
Slovenia_13,EMPLOYEE_MONITORING,1
Slovenia_16,EMPLOYEE_MONITORING,1
Slovenia_17,EDUCATION,1
Slovenia_19,EMPLOYEE_MONITORING,1
Slovenia_21,CCTV,1
Slovenia_23,RECRUITMENT_AND_HR,1
Slovenia_24,RECRUITMENT_AND_HR,1
Slovenia_25,CCTV,1
Slovenia_26,EMPLOYEE_MONITORING,1
Slovenia_30,RECRUITMENT_AND_HR,1
Slovenia_32,EMPLOYEE_MONITORING,1
Slovenia_33,RECRUITMENT_AND_HR,1
Slovenia_34,RECRUITMENT_AND_HR,1
Slovenia_37,EMPLOYEE_MONITORING,1
Slovenia_39,HEALTH,1
Slovenia_40,MARKETING,1
Slovenia_40,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Slovenia_45,CCTV,1
Slovenia_52,JOURNALISM,1
Slovenia_53,RECRUITMENT_AND_HR,1
Slovenia_57,CCTV,1
Slovenia_60,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Slovenia_61,EMPLOYEE_MONITORING,1
Slovenia_63,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Slovenia_64,CCTV,1
Slovenia_65,EMPLOYEE_MONITORING,1
Slovenia_72,MARKETING,1
Slovenia_75,RECRUITMENT_AND_HR,1
Slovakia_1,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Romania_2,CCTV,1
Romania_3,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Romania_4,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Romania_5,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Romania_8,MARKETING,1
Italy_310,COOKIES,1
Italy_311,MARKETING,1
Italy_311,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Italy_312,JOURNALISM,1
Italy_313,ARTIFICIAL_INTELLIGENCE,1
Italy_315,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Italy_316,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Ireland_7,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Ireland_10,CCTV,1
Ireland_24,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Ireland_32,JOURNALISM,1
Ireland_34,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Ireland_35,RECRUITMENT_AND_HR,1
Ireland_38,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Ireland_42,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Ireland_44,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_1,EMPLOYEE_MONITORING,1
Iceland_4,MARKETING,1
Iceland_7,CCTV,1
Iceland_7,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Iceland_12,CREDIT_SCORING,1
Iceland_13,EMPLOYEE_MONITORING,1
Iceland_16,CREDIT_SCORING,1
Iceland_17,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_20,CREDIT_SCORING,1
Iceland_22,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_24,MARKETING,1
Iceland_25,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_26,CREDIT_SCORING,1
Iceland_27,RECRUITMENT_AND_HR,1
Iceland_28,CREDIT_SCORING,1
Iceland_30,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_31,RECRUITMENT_AND_HR,1
Iceland_36,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_37,JOURNALISM,1
Iceland_38,MARKETING,1
Iceland_39,EMPLOYEE_MONITORING,1
Iceland_40,EMPLOYEE_MONITORING,1
Iceland_43,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_44,CCTV,1
Iceland_46,RECRUITMENT_AND_HR,1
Iceland_49,EMPLOYEE_MONITORING,1
Iceland_53,DPO_ROLE_PROBLEMS_STATED,1
Iceland_55,EMPLOYEE_MONITORING,1
Iceland_57,CCTV,1
Iceland_58,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_59,CCTV,1
Iceland_61,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_63,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_65,EMPLOYEE_MONITORING,1
Iceland_66,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_68,RECRUITMENT_AND_HR,1
Iceland_69,RECRUITMENT_AND_HR,1
Iceland_70,RECRUITMENT_AND_HR,1
Iceland_72,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_75,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_77,CREDIT_SCORING,1
Iceland_78,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_79,RECRUITMENT_AND_HR,1
Iceland_80,CREDIT_SCORING,1
Iceland_81,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_82,CREDIT_SCORING,1
Iceland_82,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Iceland_83,CREDIT_SCORING,1
Iceland_84,CCTV,1
Iceland_84,EMPLOYEE_MONITORING,2
Iceland_88,CCTV,1
Iceland_88,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Iceland_89,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Iceland_90,RECRUITMENT_AND_HR,1
Iceland_92,RECRUITMENT_AND_HR,1
Iceland_94,RECRUITMENT_AND_HR,1
Iceland_94,BACKGROUND_CHECKS,2
Iceland_95,CREDIT_SCORING,1
Iceland_96,RECRUITMENT_AND_HR,1
Iceland_97,MARKETING,1
Iceland_101,EMPLOYEE_MONITORING,1
Iceland_102,RECRUITMENT_AND_HR,1
Iceland_103,EMPLOYEE_MONITORING,1
Iceland_104,RECRUITMENT_AND_HR,1
Hungary_1,RECRUITMENT_AND_HR,1
Hungary_5,RECRUITMENT_AND_HR,1
Hungary_6,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Hungary_7,RECRUITMENT_AND_HR,1
Hungary_12,CCTV,1
Hungary_12,EMPLOYEE_MONITORING,2
Hungary_14,MARKETING,1
Hungary_17,CCTV,1
Hungary_18,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Hungary_19,MARKETING,1
Hungary_23,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Hungary_26,MARKETING,1
Hungary_26,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Hungary_27,CCTV,1
Hungary_27,EMPLOYEE_MONITORING,2
Hungary_28,MARKETING,1
Hungary_30,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Hungary_32,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Hungary_33,CCTV,1
Hungary_34,RECRUITMENT_AND_HR,1
Hungary_35,MARKETING,1
Hungary_36,RECRUITMENT_AND_HR,1
Hungary_38,EMPLOYEE_MONITORING,1
Hungary_39,MARKETING,1
Hungary_39,RECRUITMENT_AND_HR,2
Hungary_41,MARKETING,1
Hungary_42,COOKIES,1
Hungary_43,CCTV,1
Hungary_46,JOURNALISM,1
Hungary_48,CCTV,1
Hungary_56,MARKETING,1
Hungary_59,MARKETING,1
Hungary_60,COOKIES,1
Hungary_60,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Greece_1,CCTV,1
Greece_2,COOKIES,1
Greece_3,DPO_ROLE_PROBLEMS_STATED,1
Greece_8,DPO_ROLE_PROBLEMS_STATED,1
Greece_9,CCTV,1
Greece_16,MARKETING,1
Greece_16,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Greece_18,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_19,EMPLOYEE_MONITORING,1
Greece_20,RECRUITMENT_AND_HR,1
Greece_22,EMPLOYEE_MONITORING,1
Greece_23,EMPLOYEE_MONITORING,1
Greece_23,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Greece_25,MARKETING,1
Greece_26,MARKETING,1
Greece_27,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_29,RECRUITMENT_AND_HR,1
Greece_32,CCTV,1
Greece_32,EMPLOYEE_MONITORING,2
Greece_33,EMPLOYEE_MONITORING,1
Greece_35,MARKETING,1
Greece_36,CCTV,1
Greece_36,BACKGROUND_CHECKS,2
Greece_37,EMPLOYEE_MONITORING,1
Greece_41,MARKETING,1
Greece_41,RECRUITMENT_AND_HR,2
Greece_42,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_42,DPO_ROLE_PROBLEMS_STATED,2
Greece_43,ARTIFICIAL_INTELLIGENCE,1
Greece_46,MARKETING,1
Greece_47,MARKETING,1
Greece_48,MARKETING,1
Greece_51,CCTV,1
Greece_51,EMPLOYEE_MONITORING,2
Greece_54,EMPLOYEE_MONITORING,1
Greece_56,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_60,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_62,EMPLOYEE_MONITORING,1
Greece_63,EMPLOYEE_MONITORING,1
Greece_65,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_66,RECRUITMENT_AND_HR,1
Greece_71,EMPLOYEE_MONITORING,1
Greece_73,CCTV,1
Greece_73,RECRUITMENT_AND_HR,2
Greece_78,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_81,MARKETING,1
Greece_82,MARKETING,1
Greece_82,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Greece_84,MARKETING,1
Greece_85,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_88,MARKETING,1
Greece_89,CCTV,1
Greece_89,EMPLOYEE_MONITORING,2
Greece_90,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_94,CCTV,1
Greece_94,EMPLOYEE_MONITORING,2
Greece_97,MARKETING,1
Greece_99,DPO_ROLE_PROBLEMS_STATED,1
Greece_104,MARKETING,1
Greece_111,CCTV,1
Greece_111,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Greece_112,MARKETING,1
Greece_116,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_116,DPO_ROLE_PROBLEMS_STATED,2
Greece_117,MARKETING,1
Greece_122,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Greece_122,DPO_ROLE_PROBLEMS_STATED,2
Greece_124,RECRUITMENT_AND_HR,1
Germany_1,CREDIT_SCORING,1
Germany_1,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Germany_2,CUSTOMER_LOYALTY_CLUBS,1
Germany_3,MARKETING,1
Germany_8,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Germany_9,RECRUITMENT_AND_HR,1
Germany_10,DPO_ROLE_PROBLEMS_STATED,1
Germany_11,CREDIT_SCORING,1
Germany_13,MARKETING,1
Germany_15,COOKIES,1
Germany_18,CUSTOMER_LOYALTY_CLUBS,1
Germany_23,RECRUITMENT_AND_HR,1
Germany_24,CCTV,1
Germany_26,HEALTH_DATA_PROCESSING,1
Germany_28,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Germany_30,EMPLOYEE_MONITORING,1
Germany_31,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Germany_33,CUSTOMER_LOYALTY_CLUBS,1
Germany_35,COOKIES,1
Germany_36,MARKETING,1
Germany_36,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Germany_37,CCTV,1
Germany_37,EMPLOYEE_MONITORING,2
Germany_38,RECRUITMENT_AND_HR,1
Germany_39,MARKETING,1
Germany_41,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Germany_42,RECRUITMENT_AND_HR,1
Germany_43,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Germany_44,ARTIFICIAL_INTELLIGENCE,1
France_1,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_6,MARKETING,1
France_6,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_7,COOKIES,1
France_8,COOKIES,1
France_11,ARTIFICIAL_INTELLIGENCE,1
France_11,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_13,MARKETING,1
France_13,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_14,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_16,RECRUITMENT_AND_HR,1
France_16,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_18,CUSTOMER_LOYALTY_CLUBS,1
France_18,COOKIES,2
France_20,COOKIES,1
France_24,MARKETING,1
France_24,RECRUITMENT_AND_HR,2
France_26,CCTV,1
France_27,COOKIES,1
France_29,MARKETING,1
France_30,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_32,RECRUITMENT_AND_HR,1
France_33,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_34,MARKETING,1
France_34,RECRUITMENT_AND_HR,2
France_36,COOKIES,1
France_37,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_38,MARKETING,1
France_38,RECRUITMENT_AND_HR,2
France_39,MARKETING,1
France_39,CUSTOMER_LOYALTY_CLUBS,2
France_43,MARKETING,1
France_43,RECRUITMENT_AND_HR,2
France_44,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_45,MARKETING,1
France_48,COOKIES,1
France_48,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_49,COOKIES,1
France_50,MARKETING,1
France_50,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_53,EMPLOYEE_MONITORING,1
France_55,COOKIES,1
France_56,MARKETING,1
France_57,CCTV,1
France_60,RECRUITMENT_AND_HR,1
France_60,MARKETING,2
France_61,MARKETING,1
France_61,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_62,MARKETING,1
France_62,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_63,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_66,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
France_68,MARKETING,1
France_68,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
France_69,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Finland_1,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Finland_4,CREDIT_SCORING,1
Finland_6,CREDIT_SCORING,1
Finland_12,CCTV,1
Finland_18,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Finland_19,MARKETING,1
Finland_21,MARKETING,1
Finland_22,CUSTOMER_LOYALTY_CLUBS,1
Finland_29,CUSTOMER_LOYALTY_CLUBS,1
Finland_30,EMPLOYEE_MONITORING,1
Finland_32,ARTIFICIAL_INTELLIGENCE,1
Finland_33,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Finland_34,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Finland_36,CREDIT_SCORING,1
Finland_37,RECRUITMENT_AND_HR,1
Finland_39,COOKIES,1
Finland_42,EDUCATION,1
Finland_46,MARKETING,1
Finland_46,RECRUITMENT_AND_HR,2
